Horizon,Index,Model,Validation_RMSE,Validation_MAE,Validation_QLIKE,Test_RMSE,Test_MAE,Test_QLIKE
1day,^GSPC,GARCHGRU,0.028708394280700975,0.01777224425211822,-0.7889322827126279,0.018908959727799362,0.01142737343675741,-1.0716045579411855
1day,^GSPC,GARCHTransformer,0.0855123181893833,0.0411721394037199,-0.7601674299809588,0.04038427221534601,0.02492094431553354,-1.0494884148448274
1day,^GSPC,HistoricalVolatility,0.023998190828797273,0.012393575056458234,-0.801460753412986,0.016728361823800154,0.00839878601922828,-1.0492809967619041
1day,^IXIC,HistoricalVolatility,0.02538797569405424,0.013864467013507945,-0.5623390497403506,0.02082665678517639,0.010973148676213506,-0.7282759167334804
1day,^FTSE,HistoricalVolatility,0.021281274309231112,0.011363113188231395,-0.8539418242179077,0.0130854035103611,0.006452040530525596,-1.3445200680425196
1day,^GDAXI,HistoricalVolatility,0.02525264209514751,0.013650934809860753,-0.6847426945147037,0.013242608618617537,0.007979806102486917,-1.05571385524536
1day,^N225,HistoricalVolatility,0.01870328178166892,0.01102050955599839,-0.7105278735791003,0.030365175850311718,0.01221164508421487,-0.7369858044529003
1day,^HSI,HistoricalVolatility,0.023370773863840455,0.013026197663813483,-0.5797872866149025,0.029650393288502754,0.01308186546212067,-0.5220044049194326
1day,000001.SS,HistoricalVolatility,0.018620457532140495,0.009878166602230426,-0.9083016057286327,0.020367394627716914,0.009081146556006897,-1.0841721509985904
1day,^GSPC,Persistence,0.023998190828797273,0.012393575056458234,-0.801460753412986,0.016728361823800154,0.00839878601922828,-1.0492809967619041
1day,^IXIC,Persistence,0.02538797569405424,0.013864467013507945,-0.5623390497403506,0.02082665678517639,0.010973148676213506,-0.7282759167334804
1day,^FTSE,Persistence,0.021281274309231112,0.011363113188231395,-0.8539418242179077,0.0130854035103611,0.006452040530525596,-1.3445200680425196
1day,^GDAXI,Persistence,0.02525264209514751,0.013650934809860753,-0.6847426945147037,0.013242608618617537,0.007979806102486917,-1.05571385524536
1day,^N225,Persistence,0.01870328178166892,0.01102050955599839,-0.7105278735791003,0.030365175850311718,0.01221164508421487,-0.7369858044529003
1day,^HSI,Persistence,0.023370773863840455,0.013026197663813483,-0.5797872866149025,0.029650393288502754,0.01308186546212067,-0.5220044049194326
1day,000001.SS,Persistence,0.018620457532140495,0.009878166602230426,-0.9083016057286327,0.020367394627716914,0.009081146556006897,-1.0841721509985904
1day,^GSPC,GARCH,0.041125922991104756,0.026523100033334246,-0.7894044145508845,0.028497401005142267,0.020095780778143394,-1.0386144898726024
1day,^IXIC,GARCH,0.04472878751119865,0.029870550517517306,-0.5533424665206154,0.03313503451840057,0.021298876084890332,-0.723043751498852
1day,^FTSE,GARCH,0.03448862487656765,0.023815700558930425,-0.8462354286477833,0.02695004456699726,0.022134986495807377,-1.3230787171723977
1day,^GDAXI,GARCH,0.04137800986226233,0.02836759446589017,-0.6760488120826094,0.028725047308235246,0.023439072148003556,-1.0393310857173337
1day,^N225,GARCH,0.03162874477529612,0.02337324489444333,-0.7036600107332988,0.04882974572585758,0.028911355311242573,-0.726985307481968
1day,^HSI,GARCH,0.03604397904963919,0.025017066464022422,-0.5740530048886704,0.04248575083699944,0.025555260530903585,-0.5169092043860924
1day,000001.SS,GARCH,0.03660406540230235,0.03213411922181699,-0.8891253218336777,0.0427180600128227,0.03738315898062508,-1.0467866057561703
1day,^GSPC,EGARCH,0.052318270527275,0.028338142709345367,-0.7889954320311402,0.03261152900613336,0.02103108969182075,-1.037918964638697
1day,^IXIC,EGARCH,0.0536231043307175,0.031128675269167475,-0.5517201746004583,0.03900997304118759,0.023200274513695232,-0.7204628132743641
1day,^FTSE,EGARCH,0.0366745065592067,0.022814045057554615,-0.8469886054953569,0.02417747202681279,0.017184772560920693,-1.3313156593285573
1day,^GDAXI,EGARCH,0.04643030483539149,0.02793571159069903,-0.67607830664989,0.02792198116437194,0.022898607069595536,-1.0410622025462897
1day,^N225,EGARCH,0.03352235614089397,0.02502112991166356,-0.7027190838634682,0.058496674899639514,0.03288498262827357,-0.7200599613085356
1day,^HSI,EGARCH,0.036341534001198515,0.025276294760163177,-0.5740253905263876,0.050133682796940186,0.030006199889254643,-0.5128038374505535
1day,000001.SS,EGARCH,0.03633686583106587,0.0286582065363691,-0.8917171285907453,0.039757281979775815,0.029330371734445988,-1.0612252404865998
1day,^GSPC,GJRGARCH,0.06643516067728107,0.04129345447953856,-0.7769674107129814,0.040310582713324654,0.025398060740170442,-1.0311414910187624
1day,^IXIC,GJRGARCH,0.06936393837738357,0.045974084254976885,-0.5416702873689585,0.051543025291832786,0.03459924951928282,-0.7083173487683133
1day,^FTSE,GJRGARCH,0.057927868303096014,0.035398707818409245,-0.8336111800316208,0.032187438834648065,0.021500616827331093,-1.3249312777323226
1day,^GDAXI,GJRGARCH,0.07430666461076607,0.04723955848595302,-0.6581884478672716,0.03715704545028085,0.02598056354694244,-1.0367970242426339
1day,^N225,GJRGARCH,0.03904886223882357,0.025920856768723317,-0.7021043166002748,0.050710697791253784,0.02941596704479705,-0.7273728770509323
1day,^HSI,GJRGARCH,0.04349667872185133,0.02935770822736484,-0.5709997843226707,0.04902793612825139,0.029093308355753116,-0.5148668498967995
1day,000001.SS,GJRGARCH,0.03849876889302787,0.034729619296232174,-0.8843116395444026,0.04631215561127473,0.04168565352134222,-1.0368662079502708
1day,^GSPC,LinearRegression,0.014094807963246171,0.007443592219705393,-0.8044333107058338,0.011008472869472737,0.0056213651798605845,-1.051967505940393
1day,^IXIC,LinearRegression,0.015466091481765053,0.00875439355774709,-0.5645468764506049,0.013969085667794978,0.007374993889781947,-0.730553915217861
1day,^FTSE,LinearRegression,0.013742706807519506,0.006997320124435547,-0.8578149065493055,0.00761445051111483,0.0041259329726621745,-1.3479044938404248
1day,^GDAXI,LinearRegression,0.01714936519661334,0.008346575789338864,-0.6886880489587908,0.00826501600812266,0.004976223723729019,-1.057989240741386
1day,^N225,LinearRegression,0.011647783237979058,0.007502910773066889,-0.7127479018666385,0.015607672380577153,0.007716513168962112,-0.740895843964806
1day,^HSI,LinearRegression,0.015146494925917223,0.009211721862522212,-0.5820460312754206,0.020883375452280403,0.009193667176026973,-0.5239423744069505
1day,000001.SS,LinearRegression,0.012657746983792894,0.006473872853951875,-0.9111693137283802,0.013508144368030084,0.005822758817607545,-1.088063081519393
1day,^GSPC,RandomForest,0.03470415615708836,0.012948495141702234,-0.8032460926860179,0.012922914196860459,0.007050860593885846,-1.0512782718208564
1day,^IXIC,RandomForest,0.03577369427146407,0.015548510108757555,-0.5631946512294055,0.01671033480037112,0.009260874565665605,-0.7300980748855067
1day,^FTSE,RandomForest,0.018259694424634154,0.009619361325457413,-0.8571838540127286,0.00862933679310346,0.005262583185198687,-1.3473059423790794
1day,^GDAXI,RandomForest,0.020389516323919943,0.01111699569916398,-0.6879373630326077,0.012376033553301784,0.007595707401788547,-1.0570658368130466
1day,^N225,RandomForest,0.01782300084517142,0.0099430879738404,-0.7120677458489005,0.02289472245627163,0.010814409449111528,-0.7399713053315736
1day,^HSI,RandomForest,0.01710490173253268,0.010611848807896914,-0.5817402364473458,0.02215413186294127,0.010928894175330143,-0.5239109762359783
1day,000001.SS,RandomForest,0.013969093257055941,0.007850549656034907,-0.910447564038823,0.014405724961942973,0.007577502912608444,-1.0879121395970102
1day,^GSPC,XGBoost,0.03878729874405981,0.014629856512204819,-0.8024754260087803,0.014296093647179185,0.008331756719736245,-1.050336569293302
1day,^IXIC,XGBoost,0.043299382679790374,0.019016296685076216,-0.5618838100296866,0.02124227964219731,0.01293764115140846,-0.7285975806007879
1day,^FTSE,XGBoost,0.0168845788448108,0.009492891862742275,-0.8569031050049309,0.011174996878082724,0.007658227867260219,-1.3454285819261462
1day,^GDAXI,XGBoost,0.02193451340522867,0.011372192583703845,-0.6879699775223896,0.022332780621954654,0.009864666766378578,-1.055669813136199
1day,^N225,XGBoost,0.023264221921707032,0.011584738705423262,-0.7114378141745303,0.030649211818072782,0.013581599254970187,-0.7387441472328468
1day,^HSI,XGBoost,0.01864995097087384,0.011592542555293238,-0.581380404409118,0.02492046205344463,0.013468225199002506,-0.523288626803865
1day,000001.SS,XGBoost,0.015216697919310221,0.009243392690407725,-0.9099646503594305,0.016004317545170885,0.009353282623988947,-1.086686810018815
5day,^GSPC,HistoricalVolatility,0.056474942397905986,0.030430213493027103,-0.7813028305975083,0.033756221162616215,0.018982497170615037,-1.0358702291430015
5day,^IXIC,HistoricalVolatility,0.05806112699932699,0.032989525897015516,-0.5477652861749029,0.04048474591004462,0.02425815484915528,-0.7170897182047201
5day,^FTSE,HistoricalVolatility,0.04354457824100708,0.027666708158859573,-0.8336179857259423,0.028757037350986333,0.013739389992370309,-1.3273574667653996
5day,^GDAXI,HistoricalVolatility,0.050563113884631694,0.03232961506442489,-0.6635303199528392,0.028101017482714638,0.017479490748669224,-1.0439024096388654
5day,^N225,HistoricalVolatility,0.03667785898638155,0.023484016713375314,-0.7005188765554582,0.06378957873587496,0.027595347256824363,-0.7187596772315749
5day,^HSI,HistoricalVolatility,0.04827262930172731,0.028649727434288577,-0.5667040032385752,0.05325454904371091,0.028892613115389727,-0.5109437973803427
5day,000001.SS,HistoricalVolatility,0.033949251694013985,0.021463046960166612,-0.8955694396582582,0.039160061844879454,0.020885822021213803,-1.061580028862254
5day,^GSPC,Persistence,0.056474942397905986,0.030430213493027103,-0.7813028305975083,0.033756221162616215,0.018982497170615037,-1.0358702291430015
5day,^IXIC,Persistence,0.05806112699932699,0.032989525897015516,-0.5477652861749029,0.04048474591004462,0.02425815484915528,-0.7170897182047201
5day,^FTSE,Persistence,0.04354457824100708,0.027666708158859573,-0.8336179857259423,0.028757037350986333,0.013739389992370309,-1.3273574667653996
5day,^GDAXI,Persistence,0.050563113884631694,0.03232961506442489,-0.6635303199528392,0.028101017482714638,0.017479490748669224,-1.0439024096388654
5day,^N225,Persistence,0.03667785898638155,0.023484016713375314,-0.7005188765554582,0.06378957873587496,0.027595347256824363,-0.7187596772315749
5day,^HSI,Persistence,0.04827262930172731,0.028649727434288577,-0.5667040032385752,0.05325454904371091,0.028892613115389727,-0.5109437973803427
5day,000001.SS,Persistence,0.033949251694013985,0.021463046960166612,-0.8955694396582582,0.039160061844879454,0.020885822021213803,-1.061580028862254
5day,^GSPC,GARCH,0.042046213047913214,0.02856056946697654,-0.7820150333771979,0.03165964813782917,0.023664866223684536,-1.0315987994269193
5day,^IXIC,GARCH,0.04519916822160726,0.03149687275031167,-0.5478633069532609,0.03442018439529269,0.023186059413082216,-0.720116335101797
5day,^FTSE,GARCH,0.03323380369176124,0.024020011340095324,-0.8417762804853809,0.03249896580268159,0.027846330112069818,-1.3079287074581187
5day,^GDAXI,GARCH,0.03853394960437639,0.027787869544576318,-0.6714018941666895,0.0331396274643605,0.028341117902743726,-1.0305358596651537
5day,^N225,GARCH,0.03300660277401671,0.025543471538043098,-0.6992653018650832,0.05125476495695198,0.032083117092366525,-0.7213478415839191
5day,^HSI,GARCH,0.03705269964724518,0.02668226121563383,-0.5718610554401702,0.0423041444157563,0.02557627288094474,-0.5152466669920072
5day,000001.SS,GARCH,0.04154019223999063,0.03661515551806242,-0.8793778852743451,0.04963139148414633,0.04470671318829584,-1.0295694047759025
5day,^GSPC,EGARCH,0.05800529212393895,0.034022255314692836,-0.7799149493903095,0.03561300058233244,0.02563220311655788,-1.030389125029547
5day,^IXIC,EGARCH,0.060287905907137875,0.03729988971296109,-0.5444940917971922,0.04130559428759562,0.02604597967581831,-0.7170984381146989
5day,^FTSE,EGARCH,0.03951226523793163,0.025328845553503645,-0.8421995002914126,0.02862610771734287,0.022104563614466846,-1.3193880819746187
5day,^GDAXI,EGARCH,0.05030419165961315,0.032467847193956234,-0.6691559438739767,0.0334796735691834,0.028751978296553116,-1.0314977390653706
5day,^N225,EGARCH,0.03989233069289957,0.03146079269651676,-0.6950074455325985,0.062381742188580426,0.04026834678790169,-0.7127998118887472
5day,^HSI,EGARCH,0.043417139875284554,0.03102112083291897,-0.5688509563427225,0.053368980023308664,0.03499886191061055,-0.5092636249816869
5day,000001.SS,EGARCH,0.04341601166442413,0.03508599733387426,-0.8814456336960279,0.04593205279920785,0.03514055179624949,-1.0497696850570384
5day,^GSPC,GJRGARCH,0.05011807491105642,0.033570553038877536,-0.7792361517180778,0.0334409392530179,0.022976186015921683,-1.0345426898244037
5day,^IXIC,GJRGARCH,0.05442872817570139,0.037467754787694256,-0.5435634542654627,0.04177049216782388,0.02850705414696519,-0.7152870741575327
5day,^FTSE,GJRGARCH,0.045399981815521934,0.030469676239469525,-0.8361697605795275,0.03272353584264163,0.02499007195170377,-1.3156348793894823
5day,^GDAXI,GJRGARCH,0.056469588944073876,0.03775144750476973,-0.6654526882474877,0.03492565072354365,0.02734283691384066,-1.0344617978586894
5day,^N225,GJRGARCH,0.0366355658310715,0.02679044991698977,-0.6994609065274803,0.05156475212844408,0.031113135778050735,-0.7243217492850047
5day,^HSI,GJRGARCH,0.038601785974513234,0.02844434894067127,-0.5712303803829301,0.049604245800941506,0.02936371114195728,-0.5128532765236498
5day,000001.SS,GJRGARCH,0.033949251694013985,0.021463046960166612,-0.8955694396582582,0.039160061844879454,0.020885822021213803,-1.061580028862254
5day,^GSPC,LinearRegression,0.04222329062158134,0.02431577277498424,-0.7891018529535467,0.027322580262039212,0.016578852272455445,-1.0395962879408893
5day,^IXIC,LinearRegression,0.044694153480075445,0.0279803733269608,-0.5530493862280961,0.03358340051561635,0.021318840006938063,-0.719861061813455
5day,^FTSE,LinearRegression,0.03429260810130211,0.02269782319699606,-0.8404665642514051,0.023032271195838384,0.012804526069918434,-1.3239165491733365
5day,^GDAXI,LinearRegression,0.039662856366242,0.026113645085516793,-0.6730998823033798,0.022957597615775302,0.015392762658222503,-1.0476371751330762
5day,^N225,LinearRegression,0.031767503668438286,0.02188482525110929,-0.7022725341416732,0.05194702889098187,0.024946738696244527,-0.7219119347890108
5day,^HSI,LinearRegression,0.042213296199038346,0.026869394703590163,-0.5699351746965224,0.04870997231673903,0.027472453307732386,-0.5021166566199625
5day,000001.SS,LinearRegression,0.02976523863240084,0.01880913695815698,-0.8991947349176873,0.035160375440028,0.020109768008696183,-1.0416239030733312
5day,^GSPC,RandomForest,0.05288990011122656,0.027607831877606535,-0.7878890077869675,0.03395741121779666,0.02117485539850823,-1.0353243433883303
5day,^IXIC,RandomForest,0.05568997335571261,0.03350002641953175,-0.549670174424217,0.04108942169977405,0.02604906450567834,-0.7174405078431904
5day,^FTSE,RandomForest,0.039287610563702065,0.024332588247140817,-0.8403632637213799,0.024089624508313263,0.01406826757820583,-1.3323739403916346
5day,^GDAXI,RandomForest,0.0508892136420177,0.031812640089668234,-0.6665262771127421,0.027783637847216696,0.01915793309761687,-1.043471902185374
5day,^N225,RandomForest,0.0621812133296099,0.029154995419876612,-0.6988503497804638,0.060891972869645726,0.03634588464050054,-0.7151769436402887
5day,^HSI,RandomForest,0.05378760327762537,0.03176861214040518,-0.5669928977406371,0.05180487733594671,0.02850341127973656,-0.5101820112352623
5day,000001.SS,RandomForest,0.031887696713322596,0.02057606746992553,-0.8979408282731325,0.0358849676717757,0.021739018338430362,-1.0666368898674392
5day,^GSPC,XGBoost,0.056422187454095815,0.03071008402858304,-0.7856830169492012,0.03623048419452442,0.02434179937538156,-1.030596996402123
5day,^IXIC,XGBoost,0.06050423178567794,0.035855795781932466,-0.5469980311414979,0.046496207502782216,0.031021911971547796,-0.7090664334297287
5day,^FTSE,XGBoost,0.0399157225968606,0.025600092833552666,-0.8382120305844306,0.026773332418502542,0.017410337545314025,-1.3267150803910674
5day,^GDAXI,XGBoost,0.0496557057849142,0.03301136212745527,-0.6660235908107481,0.034586098013931234,0.02439570118376121,-1.0362542304783955
5day,^N225,XGBoost,0.05512308951773923,0.030671162617368845,-0.6975190508414275,0.061787755718309814,0.03703416761892088,-0.7144945933392236
5day,^HSI,XGBoost,0.06903800757581141,0.036452175779162495,-0.5641680773504268,0.0538217967437281,0.03243053381545323,-0.5083133220972578
5day,000001.SS,XGBoost,0.035974141174539384,0.024422739254983197,-0.8929579152047272,0.04013164780877222,0.028208349471539586,-1.0585132556452184
22day,^GSPC,HistoricalVolatility,0.15692653720838812,0.08696665095300123,-0.6260325553384738,0.07806797851414458,0.04779703459142565,-0.9646326047287889
22day,^IXIC,HistoricalVolatility,0.15472155927864967,0.09099512312391957,-0.4282663262343283,0.09265259428940958,0.06001232481501749,-0.6612384671980547
22day,^FTSE,HistoricalVolatility,0.11024840805025851,0.07081558174649549,-0.7207808904785324,0.06230933051102948,0.03499076857770189,-1.25314462078248
22day,^GDAXI,HistoricalVolatility,0.12501310511669514,0.08213673971466441,-0.5488274676929319,0.06098088495247221,0.041779262505207554,-0.9897030047852314
22day,^N225,HistoricalVolatility,0.08477642539373859,0.055215750174007774,-0.6531023377585332,0.13988055025274468,0.07676913151364241,-0.6097243133290097
22day,^HSI,HistoricalVolatility,0.10282732261436964,0.07371065017538364,-0.49809370113389373,0.11437787780154805,0.07398823404315054,-0.4511118094211136
22day,000001.SS,HistoricalVolatility,0.07208563704999317,0.04791657360855115,-0.8291737033743519,0.08724362675130508,0.053623970949873825,-0.9537567248784699
22day,^GSPC,Persistence,0.15692653720838812,0.08696665095300123,-0.6260325553384738,0.07806797851414458,0.04779703459142565,-0.9646326047287889
22day,^IXIC,Persistence,0.15472155927864967,0.09099512312391957,-0.4282663262343283,0.09265259428940958,0.06001232481501749,-0.6612384671980547
22day,^FTSE,Persistence,0.11024840805025851,0.07081558174649549,-0.7207808904785324,0.06230933051102948,0.03499076857770189,-1.25314462078248
22day,^GDAXI,Persistence,0.12501310511669514,0.08213673971466441,-0.5488274676929319,0.06098088495247221,0.041779262505207554,-0.9897030047852314
22day,^N225,Persistence,0.08477642539373859,0.055215750174007774,-0.6531023377585332,0.13988055025274468,0.07676913151364241,-0.6097243133290097
22day,^HSI,Persistence,0.10282732261436964,0.07371065017538364,-0.49809370113389373,0.11437787780154805,0.07398823404315054,-0.4511118094211136
22day,000001.SS,Persistence,0.07208563704999317,0.04791657360855115,-0.8291737033743519,0.08724362675130508,0.053623970949873825,-0.9537567248784699
22day,^GSPC,GARCH,0.12609629967054392,0.06813314961109207,-0.6730370451580492,0.06234293286928997,0.03918655352904403,-0.996962206208495
22day,^IXIC,GARCH,0.1266155639116959,0.07653025307807251,-0.4599661352704484,0.07519492147568746,0.048603035790693104,-0.6858495629388758
22day,^FTSE,GARCH,0.08814405792819313,0.05309963681794827,-0.775364834101139,0.06334312872766083,0.05350582290713659,-1.2394579149637257
22day,^GDAXI,GARCH,0.1014126607481053,0.06299070220229161,-0.6020828006410863,0.06207499598419327,0.05129725175138014,-0.9859873503879638
22day,^N225,GARCH,0.06919855863962017,0.049796690067142976,-0.6641453989317025,0.11486845573584564,0.06923472276801201,-0.6521486942812031
22day,^HSI,GARCH,0.08491238437055484,0.0590357167577391,-0.5248035385066261,0.09241560482017162,0.05912363429447377,-0.4767779996916059
22day,000001.SS,GARCH,0.07727925318258379,0.07009381432581507,-0.8212819923548722,0.09421144796654529,0.08451281381998432,-0.9460690240000886
22day,^GSPC,EGARCH,0.12366942371697925,0.0691767365281467,-0.6822605191338879,0.06972219480012912,0.05546912742211042,-0.9733800529588779
22day,^IXIC,EGARCH,0.12343757696566986,0.07269126846760515,-0.4649198971267695,0.07454526155929489,0.05391040238629953,-0.6810609783962951
22day,^FTSE,EGARCH,0.08802483875450605,0.05449699981889312,-0.7747793781885876,0.0615172846620575,0.05036202434561631,-1.2462763752335664
22day,^GDAXI,EGARCH,0.10115493731266094,0.06421072039175318,-0.6005367135819133,0.06784490797196296,0.05832935815864021,-0.9745624807999004
22day,^N225,EGARCH,0.07753754288358268,0.061500441249858276,-0.6500584293489835,0.11211102826062114,0.0814409692114416,-0.6432160240329915
22day,^HSI,EGARCH,0.0849683091894403,0.06214844587806789,-0.5228488958260111,0.08978797306963682,0.06461458560218424,-0.4748858167445425
22day,000001.SS,EGARCH,0.07866755659488486,0.06594686393039866,-0.8236033297986416,0.08142959722485617,0.06545707825430971,-0.9806579769659606
22day,^GSPC,GJRGARCH,0.12353547877327417,0.07137279400027223,-0.6868613898059295,0.0628593312653319,0.04467759793594706,-0.9945846729113983
22day,^IXIC,GJRGARCH,0.12526847546798928,0.07705920536905816,-0.46308897464752546,0.06787031769564163,0.04547681674971326,-0.6934178448962158
22day,^FTSE,GJRGARCH,0.08691725267804497,0.05467045686439952,-0.7798417552097175,0.06498663642122336,0.05221139318545094,-1.244033556858492
22day,^GDAXI,GJRGARCH,0.10090385349633481,0.06978447747078284,-0.6032162570934827,0.07753347749722367,0.06813363302317672,-0.9562141369788371
22day,^N225,GJRGARCH,0.06406110025141047,0.04749216157347113,-0.6675114206924265,0.11294376836866185,0.06840578134862492,-0.6567494940559773
22day,^HSI,GJRGARCH,0.08242653265362479,0.05914019478485784,-0.5273017008726454,0.0992449694138164,0.060315876352243246,-0.47245282024890967
22day,000001.SS,GJRGARCH,0.08018001006619369,0.07314255938445498,-0.8159231057100672,0.09703362679477386,0.08780308835031386,-0.9389936198270014
22day,^GSPC,LinearRegression,0.1305140727802832,0.07659448038007435,-0.6532764184796661,0.07043561875603074,0.044875866756325676,-0.9561052790157211
22day,^IXIC,LinearRegression,0.13425948911124874,0.08605733735432285,-0.4360614137817798,0.08273111993332488,0.052026759215857525,-0.6576218233655782
22day,^FTSE,LinearRegression,0.09140911591329957,0.05908827429701692,-0.7445230384293483,0.05865920329317919,0.039927581042735735,7662.279945791973
22day,^GDAXI,LinearRegression,0.10409117394553168,0.06912450354848906,-0.5913694667260164,0.061093180737439495,0.04633260496201372,-0.9881894803763657
22day,^N225,LinearRegression,0.0717939967370181,0.053163029399525295,-0.654544742780014,0.11863759643321678,0.06206231476398851,32866.91623893807
22day,^HSI,LinearRegression,0.10179364848069541,0.06830278871491274,-0.4996853868695922,0.1151721794884833,0.07552234422438342,21909.63684722335
22day,000001.SS,LinearRegression,0.060886968259615,0.04544898857957254,-0.8520688930350814,0.08290676268485343,0.057230128257103274,-0.9667082294848317
22day,^GSPC,RandomForest,0.1312529989268211,0.07492644626894236,-0.6536545258209338,0.07886293895634966,0.05829951850349396,-0.9599940147129065
22day,^IXIC,RandomForest,0.13584982021663894,0.08696593880164337,-0.42330807611968146,0.08589510863495142,0.058954283360816616,-0.654954443029847
22day,^FTSE,RandomForest,0.09242191427368442,0.05844449738166847,-0.7637165018064944,0.06228542834502155,0.04813845201462377,-1.2534050230496923
22day,^GDAXI,RandomForest,0.10319707400457791,0.0686107374691786,-0.594783644744602,0.06715307137017522,0.05349416579541098,-0.9802364619807471
22day,^N225,RandomForest,0.10662973605342402,0.06648528416758688,-0.6453127931236593,0.11431906994904552,0.08090495342324613,-0.6357662498253795
22day,^HSI,RandomForest,0.1181716458394576,0.08183628919138161,-0.48603333036942903,0.11847035064302111,0.08006241005807552,-0.42525419908362333
22day,000001.SS,RandomForest,0.0824958586117039,0.06121080380943642,-0.8276305293417832,0.09824557390923865,0.07402414196106652,-0.9635781562138269
22day,^GSPC,XGBoost,0.13882346177542051,0.07603879811906337,-0.6170613775407389,0.08252714169157084,0.06135377224052967,-0.9404195202244955
22day,^IXIC,XGBoost,0.14115104313227012,0.0875724213633093,-0.39868958080182304,0.08312190387845123,0.05894583383410981,-0.6551909723284185
22day,^FTSE,XGBoost,0.10094701832732583,0.06614254586642433,-0.7135499741809904,0.0636777103567437,0.0468859235197959,-1.2440056299655657
22day,^GDAXI,XGBoost,0.11098238270061031,0.0752815129504339,-0.5562348559305812,0.06948584249729862,0.05341768529185208,-0.9836291545761549
22day,^N225,XGBoost,0.09066490933454416,0.06661463099645709,-0.6388657124710039,0.13327624527743945,0.0960204566073013,-0.5708678901713353
22day,^HSI,XGBoost,0.10433793086106687,0.07320819942527243,-0.4881197210700334,0.113738650708475,0.07765557367603729,-0.4312549695933037
22day,000001.SS,XGBoost,0.0911352358495693,0.065723786131968,-0.8164421647244298,0.08721689969163447,0.062400532450910276,-0.9746022501681073
1day,^GSPC,LSTM,0.02547101377098114,0.014160348618552554,-0.7909084135966884,0.013294202982428342,0.008961020261954129,-1.0734885326252948
1day,^IXIC,LSTM,0.0268965359206418,0.017251198487201108,-0.5494440069320112,0.022280684610148857,0.015521376390657057,-0.7485708218264312
1day,^FTSE,LSTM,0.0157945293770688,0.009664223522895348,-0.8498475583347191,0.011119857439776174,0.007582261175235708,-1.3449205299457003
1day,^GDAXI,LSTM,0.01887004991349543,0.0112661570815648,-0.6783965486021789,0.010188137555126937,0.006948650865549815,-1.0635831566761478
1day,^N225,LSTM,0.014023323551858017,0.00968478542383111,-0.6955462909625739,0.020690074163237777,0.0105666497915117,-0.7342566364317225
